datetime,temp_location3,temp_location6,temp_location2,temp_location4,temp_location5,temp_location1,solar_location3,solar_location6,solar_location2,solar_location4,solar_location5,solar_location1,total_solar,Hour
1/1/2015 8:00,10.13,11.68,10.74,9.4,12.17,10.88,2.58,4.54,3.12,2.66,6.76,4.15,23.81,8
1/1/2015 9:00,10.32,11.71,10.78,9.66,12.19,10.89,25.56,35.39,31.73,21.15,47.14,38.05,199.02,9
1/1/2015 10:00,10.42,11.7,10.83,9.94,12.19,10.96,56.53,95.44,77.41,46.75,106.41,77.38,459.92,10
1/1/2015 11:00,10.63,11.75,11.04,10.22,12.27,11.2,64.56,131.38,86.97,64.94,126.41,93.69,567.95,11
1/1/2015 12:00,10.86,11.84,11.17,10.45,12.34,11.37,97.16,167.38,104.53,55.41,182,137.31,743.79,12
1/1/2015 13:00,11.15,11.95,11.31,10.63,12.37,11.58,146.69,180.31,124.81,77.72,189.88,161.44,880.85,13
1/1/2015 14:00,11.49,12.02,11.45,10.91,12.42,11.73,70.97,141.94,96.88,74.41,149,83.19,616.39,14
1/1/2015 15:00,11.34,12.08,11.4,11.03,12.48,11.59,14.76,52.58,31.53,12.62,46.34,20.07,177.9,15
1/1/2015 16:00,11.17,12.1,11.25,10.89,12.53,11.51,0.1,0.83,0.33,0,0.89,0.36,2.51,16
2/1/2015 8:00,7.01,10.38,7.66,6.14,10.6,7.93,9.87,7.54,7.18,11.22,7.16,7.63,50.6,8
2/1/2015 9:00,6.75,10.3,7.46,5.82,10.56,7.74,95.69,53.89,78.09,97.28,56.44,85.06,466.45,9
2/1/2015 10:00,7.2,10.31,7.73,6.45,10.5,7.96,182,144.81,182.31,178,163.38,192.19,1042.69,10
2/1/2015 11:00,7.86,10.39,8.39,7.41,10.55,8.53,233,246.12,231.38,225.25,256.75,242.75,1435.25,11
2/1/2015 12:00,8.17,10.37,8.79,7.96,10.45,8.75,253.44,263.38,259,243,267.5,260.88,1547.2,12
2/1/2015 13:00,8.05,10.24,8.78,7.94,10.3,8.62,218.19,233.12,225.44,209.44,239.12,230.06,1355.37,13
2/1/2015 14:00,7.69,10.11,8.5,7.5,10.18,8.34,147.25,161.94,155,131.75,165.62,158.81,920.37,14
2/1/2015 15:00,6.9,9.92,7.83,6.52,9.96,7.72,52.78,57.38,56.56,36.19,57.69,60.78,321.38,15
2/1/2015 16:00,4.73,9.5,5.98,3.94,9.57,5.99,0.49,1.31,0.87,0.02,1.9,1.33,5.92,16
3/1/2015 8:00,10.11,12.47,11.55,4.52,12.47,11.51,2.69,2.37,3.35,1.41,2.39,3.29,15.5,8
3/1/2015 9:00,10.97,12.54,11.65,5.42,12.5,11.58,26.84,23.47,41.39,25.22,21.12,31.28,169.32,9
3/1/2015 10:00,11.26,12.51,11.79,7.38,12.51,11.79,42.44,44.16,64.78,24.15,51.56,53.5,280.59,10
3/1/2015 11:00,11.54,12.56,12.07,9.58,12.62,11.97,136.12,118.62,193.75,34.91,136.62,169.12,789.14,11
3/1/2015 12:00,11.77,12.74,12.45,10.38,12.77,12.17,144.62,199.88,186.06,81.41,189.81,137.38,939.16,12
3/1/2015 13:00,11.71,12.72,12.38,10.74,12.7,11.92,92.56,168.44,131.94,63.64,170.69,104.31,731.58,13
