ds,y,type
2015-01-01 08:00:00,23.81,actual
2015-01-01 09:00:00,199.02,actual
2015-01-01 10:00:00,459.92,actual
2015-01-01 11:00:00,567.95,actual
2015-01-01 12:00:00,743.79,actual
2015-01-01 13:00:00,880.85,actual
2015-01-01 14:00:00,616.39,actual
2015-01-01 15:00:00,177.9,actual
2015-01-01 16:00:00,2.51,actual
2015-01-02 08:00:00,50.6,actual
2015-01-02 09:00:00,466.45,actual
2015-01-02 10:00:00,1042.69,actual
2015-01-02 11:00:00,1435.25,actual
2015-01-02 12:00:00,1547.2,actual
2015-01-02 13:00:00,1355.37,actual
2015-01-02 14:00:00,920.37,actual
2015-01-02 15:00:00,321.38,actual
2015-01-02 16:00:00,5.92,actual
2015-01-03 08:00:00,15.5,actual
2015-01-03 09:00:00,169.32,actual
2015-01-03 10:00:00,280.59,actual
2015-01-03 11:00:00,789.14,actual
2015-01-03 12:00:00,939.16,actual
2015-01-03 13:00:00,731.58,actual
2015-01-03 14:00:00,367.14,actual
2015-01-03 15:00:00,106.53,actual
2015-01-03 16:00:00,1.75,actual
2015-01-04 08:00:00,35.84,actual
2015-01-04 09:00:00,216.1,actual
2015-01-04 10:00:00,443.0,actual
2015-01-04 11:00:00,581.65,actual
2015-01-04 12:00:00,602.19,actual
2015-01-04 13:00:00,526.78,actual
2015-01-04 14:00:00,353.61,actual
2015-01-04 15:00:00,117.72,actual
2015-01-04 16:00:00,2.05,actual
2015-01-05 08:00:00,34.07,actual
2015-01-05 09:00:00,212.76,actual
2015-01-05 10:00:00,408.33,actual
2015-01-05 11:00:00,522.86,actual
2015-01-05 12:00:00,494.54,actual
2015-01-05 13:00:00,454.95,actual
2015-01-05 14:00:00,269.42,actual
2015-01-05 15:00:00,87.28,actual
2015-01-05 16:00:00,1.87,actual
2015-01-06 08:00:00,29.18,actual
2015-01-06 09:00:00,272.0,actual
2015-01-06 10:00:00,936.25,actual
2015-01-06 11:00:00,1446.43,actual
2015-01-06 12:00:00,1574.69,actual
2015-01-06 13:00:00,1374.94,actual
2015-01-06 14:00:00,932.68,actual
2015-01-06 15:00:00,343.61,actual
2015-01-06 16:00:00,8.39,actual
2015-01-07 08:00:00,43.66,actual
2015-01-07 09:00:00,181.9,actual
2015-01-07 10:00:00,267.31,actual
2015-01-07 11:00:00,324.86,actual
2015-01-07 12:00:00,296.45,actual
2015-01-07 13:00:00,260.38,actual
2015-01-07 14:00:00,278.83,actual
2015-01-07 15:00:00,128.69,actual
2015-01-07 16:00:00,2.16,actual
2015-01-08 08:00:00,41.04,actual
2015-01-08 09:00:00,241.94,actual
2015-01-08 10:00:00,742.63,actual
2015-01-08 11:00:00,1140.76,actual
2015-01-08 12:00:00,1435.31,actual
2015-01-08 13:00:00,1359.5,actual
2015-01-08 14:00:00,947.05,actual
2015-01-08 15:00:00,366.64,actual
2015-01-08 16:00:00,5.55,actual
2015-01-09 08:00:00,77.89,actual
2015-01-09 09:00:00,473.17,actual
2015-01-09 10:00:00,940.13,actual
2015-01-09 11:00:00,1255.9,actual
2015-01-09 12:00:00,1183.44,actual
2015-01-09 13:00:00,549.07,actual
2015-01-09 14:00:00,554.33,actual
2015-01-09 15:00:00,261.79,actual
2015-01-09 16:00:00,7.93,actual
2015-01-10 08:00:00,29.9,actual
2015-01-10 09:00:00,328.11,actual
2015-01-10 10:00:00,692.03,actual
2015-01-10 11:00:00,1017.25,actual
2015-01-10 12:00:00,1244.0,actual
2015-01-10 13:00:00,1229.75,actual
2015-01-10 14:00:00,872.0,actual
2015-01-10 15:00:00,323.28,actual
2015-01-10 16:00:00,12.54,actual
2015-01-11 08:00:00,125.56,actual
2015-01-11 09:00:00,497.4,actual
2015-01-11 10:00:00,683.44,actual
2015-01-11 11:00:00,1198.47,actual
2015-01-11 12:00:00,1270.62,actual
2015-01-11 13:00:00,883.79,actual
2015-01-11 14:00:00,560.95,actual
2015-01-11 15:00:00,205.67,actual
2015-01-11 16:00:00,5.29,actual
2015-01-12 08:00:00,15.85,actual
2015-01-12 09:00:00,88.82,actual
2015-01-12 10:00:00,225.44,actual
2015-01-12 11:00:00,327.04,actual
2015-01-12 12:00:00,276.54,actual
2015-01-12 13:00:00,228.48,actual
2015-01-12 14:00:00,112.58,actual
2015-01-12 15:00:00,36.39,actual
2015-01-12 16:00:00,0.99,actual
2015-02-01 07:00:00,9.91,actual
2015-02-01 08:00:00,401.45,actual
2015-02-01 09:00:00,1085.18,actual
2015-02-01 10:00:00,1653.37,actual
2015-02-01 11:00:00,1993.64,actual
2015-02-01 12:00:00,1989.74,actual
2015-02-01 13:00:00,1725.87,actual
2015-02-01 14:00:00,1258.12,actual
2015-02-01 15:00:00,683.37,actual
2015-02-01 16:00:00,129.05,actual
2015-02-02 07:00:00,7.4,actual
2015-02-02 08:00:00,204.14,actual
2015-02-02 09:00:00,489.54,actual
2015-02-02 10:00:00,687.12,actual
2015-02-02 11:00:00,796.53,actual
2015-02-02 12:00:00,713.31,actual
2015-02-02 13:00:00,579.27,actual
2015-02-02 14:00:00,390.82,actual
